Title	Category		Filename	URL	Date Created	Date
Ep 107 - Emma Hale Elect Lady	History	https://nakedmormonismpodcast.com/episode-107-emma-hale-elect-lady/	Episode 107 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-107-emma-hale-elect-lady	Fri, 15 Jun 2018 03:49:33 +0000	6/15/2018 3:49:33
Ep 108 - High Priestesses	History	https://nakedmormonismpodcast.com/episode-108-high-priestesses/	Episode 108 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-108-high-priestesses	Fri, 22 Jun 2018 16:49:34 +0000	6/22/2018 16:49:34
Ep 109 - Boggs Bites Port’s Bullet	History	https://nakedmormonismpodcast.com/episode-109-boggs-bites-ports-bullet/	Episode 109 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-109-boggs-bites-ports-bullet	Fri, 29 Jun 2018 04:29:13 +0000	6/29/2018 4:29:13
Ep 110 - King Me!	History	https://nakedmormonismpodcast.com/episode-110-king/	Episode 110 notes updated.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-110-king-me	Fri, 06 Jul 2018 06:08:58 +0000	7/6/2018 6:08:58
Ep 111 - Queen Me! Endowment Ceremony pt. 2	History	https://nakedmormonismpodcast.com/episode-111-queen-endowment-ceremony-pt-2/	Episode 111 notes updated.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-111-queen-me-endowment-ceremony-pt-2	Fri, 13 Jul 2018 02:27:47 +0000	7/13/2018 2:27:47
Ep 112 - By His Own Hand, the Best-Worst Mormon Scripture	History	https://nakedmormonismpodcast.com/episode-112-hand-best-worst-mormon-scripture/	Episode 112 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-112-by-his-own-hand-the-best-worst-mormon-scripture	Fri, 20 Jul 2018 05:19:03 +0000	7/20/2018 5:19:03
Ep 113 - Mormon Theocracy with Will Bagley pt.1	History	https://nakedmormonismpodcast.com/episode-113-mormon-theocracy-will-bagley-pt-1/	Episode 113-114 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-113-mormon-theocracy-with-will-bagley-pt1	Wed, 25 Jul 2018 16:57:37 +0000	7/25/2018 16:57:37
Ep 114 - Bloody Brigham’s Mormon Theocracy with Will Bagley pt.2	History	https://nakedmormonismpodcast.com/episode-114-bloody-brighams-mormon-theocracy-will-bagley-pt-2/	none	https://nakedmormonismpodcast.libsyn.com/ep-114-bloody-brighams-mormon-theocracy-with-will-bagley-pt2	Fri, 03 Aug 2018 02:15:50 +0000	8/3/2018 2:15:50
Ep 115 - Bennett, Jo’s Kindred Scoundrel	History	https://nakedmormonismpodcast.com/episode-115-bennett-jos-kindred-scoundrel/	Episode 115 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-115-bennett-jos-kindred-scoundrel	Fri, 10 Aug 2018 05:27:47 +0000	8/10/2018 5:27:47
Ep 116 - The Tongue is an Unruly Member	History	https://nakedmormonismpodcast.com/episode-116-tongue-unruly-member/	Episode 116 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-116-the-tongue-is-an-unruly-member	Fri, 17 Aug 2018 03:52:22 +0000	8/17/2018 3:52:22
Ep 117 - Miss Nancy Rigdon	History	https://nakedmormonismpodcast.com/ep-117-miss-nancy-rigdon/	Episode 117 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-117-miss-nancy-rigdon	Fri, 24 Aug 2018 05:04:18 +0000	8/24/2018 5:04:18
Ep 118 - Snow on the Roxc	History	https://nakedmormonismpodcast.com/episode-118-snow-roxc/	Episode 118 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-118-snow-on-the-roxc	Fri, 31 Aug 2018 04:36:28 +0000	8/31/2018 4:36:28
